event_id,user_id,username,department,job_title,resource,action,timestamp,source_ip,location,success,is_anomaly,anomaly_type
E000001,U0092,margaret10,Legal,General Counsel,security_logs,admin,2025-09-02 03:40:56.254186,125.185.208.17,"Sydney, AU",False,True,unusual_time
E000002,U0078,nicole48,IT,IT Manager,public_wiki,read,2025-09-02 09:01:01.254186,192.168.64.204,"Singapore, SG",True,False,
E000003,U0062,nperry,Product,VP Product,source_code_repo,read,2025-09-02 09:02:09.254186,192.168.59.151,"São Paulo, BR",True,False,
E000004,U0066,dayderek,Operations,Operations Analyst,security_logs,download,2025-09-02 09:04:56.254186,119.112.98.30,"Pyongyang, KP",True,True,unusual_location
E000005,U0121,kristina09,Product,Product Manager,public_wiki,read,2025-09-02 09:12:43.254186,192.168.194.192,"Singapore, SG",True,False,
E000006,U0037,gracefarrell,Sales,Account Executive,analytics_dashboard,write,2025-09-02 09:16:08.254186,192.168.202.220,"San Francisco, US",True,False,
E000007,U0162,tramos,Engineering,Senior Engineer,source_code_repo,write,2025-09-02 09:20:58.254186,192.168.31.230,"Toronto, CA",True,False,
E000008,U0009,veronica83,Product,Product Manager,company_news,execute,2025-09-02 09:24:28.254186,192.168.227.106,"San Francisco, US",True,False,
E000009,U0083,tina34,Customer Support,Support Lead,vacation_calendar,read,2025-09-02 09:26:01.254186,192.168.125.169,"Sydney, AU",True,False,
E000010,U0114,ryan38,Legal,Paralegal,project_management,read,2025-09-02 09:43:34.254186,192.168.189.85,"Berlin, DE",True,False,
E000011,U0067,shawnrogers,Engineering,Software Engineer,source_code_repo,read,2025-09-02 09:46:03.254186,192.168.57.237,"Toronto, CA",True,False,
E000012,U0148,whitedouglas,Finance,Accountant,payroll_system,read,2025-09-02 09:47:46.254186,192.168.114.95,"Singapore, SG",True,False,
E000013,U0101,andrea47,Finance,Controller,employee_directory,read,2025-09-02 09:48:37.254186,192.168.35.141,"Tokyo, JP",True,False,
E000014,U0048,jonathanfletcher,HR,HR Director,company_news,read,2025-09-02 09:52:24.254186,192.168.58.196,"Berlin, DE",True,False,
E000015,U0030,brian97,Finance,Finance Manager,payroll_system,read,2025-09-02 09:55:32.254186,192.168.237.107,"Singapore, SG",True,False,
E000016,U0128,paulwatson,Marketing,Marketing Specialist,crm_system,read,2025-09-02 09:56:22.254186,192.168.189.34,"New York, US",True,False,
E000017,U0120,danaoliver,Legal,Paralegal,time_tracker,read,2025-09-02 10:05:38.254186,192.168.36.39,"Tokyo, JP",True,False,
E000018,U0125,xcarson,HR,HR Specialist,crm_system,read,2025-09-02 10:07:43.254186,192.168.159.25,"Toronto, CA",True,False,
E000019,U0099,edwardsmarcus,HR,HR Specialist,employee_directory,read,2025-09-02 10:15:34.254186,192.168.204.61,"Berlin, DE",True,False,
E000020,U0092,margaret10,Legal,General Counsel,public_wiki,read,2025-09-02 10:17:34.254186,192.168.124.246,"Sydney, AU",True,False,
E000021,U0169,sabrinacollins,Legal,General Counsel,employee_directory,read,2025-09-02 10:24:22.254186,192.168.141.239,"São Paulo, BR",True,False,
E000022,U0021,carlosjohnson,Legal,Paralegal,project_management,read,2025-09-02 10:24:57.254186,192.168.76.110,"London, UK",True,False,
E000023,U0156,tberry,Customer Support,Support Manager,learning_portal,read,2025-09-02 10:30:05.254186,192.168.204.150,"Singapore, SG",True,False,
E000024,U0085,taylor75,Engineering,DevOps Engineer,project_management,read,2025-09-02 10:30:42.254186,192.168.240.1,"Mumbai, IN",True,False,
E000025,U0055,kmercado,Customer Support,Support Agent,public_wiki,read,2025-09-02 10:30:49.254186,192.168.38.86,"San Francisco, US",True,False,
E000026,U0026,pearsonamber,HR,HR Director,payroll_system,write,2025-09-02 10:35:22.254186,192.168.107.124,"Toronto, CA",True,False,
E000027,U0122,jamesbuchanan,Engineering,Software Engineer,source_code_repo,read,2025-09-02 10:37:07.254186,192.168.78.141,"Singapore, SG",True,False,
E000028,U0017,john39,Engineering,Engineering Manager,project_management,read,2025-09-02 10:43:21.254186,192.168.146.158,"Toronto, CA",True,False,
E000029,U0178,mitchellkathryn,Engineering,Senior Engineer,employee_directory,read,2025-09-02 10:45:44.254186,192.168.201.118,"Sydney, AU",True,False,
E000030,U0105,lori44,Marketing,CMO,crm_system,write,2025-09-02 10:53:54.254186,192.168.113.192,"Toronto, CA",True,False,
E000031,U0131,tammyrush,Operations,COO,analytics_dashboard,read,2025-09-02 10:54:33.254186,192.168.225.164,"London, UK",True,False,
E000032,U0198,xrush,Product,Senior PM,analytics_dashboard,read,2025-09-02 10:54:33.254186,192.168.93.117,"Tokyo, JP",True,False,
E000033,U0077,anthony52,Finance,Controller,employee_directory,write,2025-09-02 11:11:32.254186,192.168.72.241,"Tokyo, JP",True,False,
E000034,U0114,ryan38,Legal,Paralegal,employee_directory,read,2025-09-02 11:18:06.254186,192.168.82.210,"Berlin, DE",True,False,
E000035,U0196,zcox,HR,HR Specialist,crm_system,read,2025-09-02 11:18:09.254186,192.168.36.108,"Toronto, CA",True,False,
E000036,U0163,dhayes,IT,IT Support,time_tracker,write,2025-09-02 11:20:01.254186,192.168.169.40,"Toronto, CA",True,False,
E000037,U0071,stricklandfrank,Customer Support,Support Manager,vacation_calendar,read,2025-09-02 11:26:35.254186,192.168.80.140,"Berlin, DE",True,False,
E000038,U0183,srodriguez,Finance,Controller,analytics_dashboard,read,2025-09-02 11:34:41.254186,192.168.92.205,"London, UK",True,False,
E000039,U0190,stewartkyle,Operations,COO,time_tracker,read,2025-09-02 11:37:44.254186,192.168.201.189,"Berlin, DE",True,False,
E000040,U0171,lucasrodney,Marketing,Marketing Specialist,analytics_dashboard,write,2025-09-02 11:43:17.254186,192.168.110.192,"Tokyo, JP",True,False,
